title,summary,url,source,publication_date,sentiment
Facebook: Sarah Wynn-Williams' shocking exposé,"Shortly before he took his front-row seat at Donald Trump's inauguration, Mark Zuckerberg announced that he was making ...",https://www.msn.com/en-gb/news/world/facebook-sarah-wynn-williams-shocking-expos%C3%A9/ar-AA1BtI3v?ocid=BingNewsVerp,MSN,2025-03-23,Neutral
Who is Sarah Wynn-Williams? Former Meta insider exposing Facebook's dark side,"Williams, a former Facebook policy director, exposes Meta’s internal workings in her book Careless People, alleging reckless ...",https://www.msn.com/en-in/news/other/who-is-sarah-wynn-williams-former-meta-insider-exposing-facebooks-dark-side/ar-AA1B5jFW?ocid=BingNewsVerp,India Today,2025-03-18,Negative
"Lingerie for aide, 'come to bed' request: The shocking claims against ex-Facebook COO Sheryl Sandberg","Former Facebook Chief Operating Officer Sheryl Sandberg is facing backlash over sexual harassment allegations. In a new book, ...",https://www.firstpost.com/explainers/sarah-wynn-williams-facebook-meta-sheryl-sandberg-harassment-allegations-13870768.html,12d,2025-03-12,Positive
"For running ‘radical social media handle’ on Facebook, Kashmir man tracked and arrested",Counter Intelligence Kashmir accused the man from Srinagar of running a ‘radical social media handle’ on Facebook called ...,https://indianexpress.com/article/india/kashmir-radcial-social-media-facebook-arrested-9892513/,5d,2025-03-19,Positive
Meta could start charging people to use Facebook in the UK,Meta says both Facebook and Instagram are ‘free for British consumers because of personalised advertising’. This is when ...,https://www.msn.com/en-gb/technology/tech-companies/facebook-users-in-the-uk-might-have-to-start-paying-subscription-fee/ar-AA1BuMxA?ocid=BingNewsVerp,MSN,2025-03-23,Positive
Sarah Wynn-Williams Meta memoir exposes how Indian official derailed Facebook’s Free Basics by ‘jugaad’. What happened…,Williams’ explosive memoir from her time at the tech giant has revealed how an Indian official used simple “jugaad” to derail ...,https://www.msn.com/en-in/news/India/sarah-wynn-williams-meta-memoir-exposes-how-indian-official-derailed-facebooks-free-basics-by-jugaad-what-happened/ar-AA1B3HcG?ocid=BingNewsVerp,MSN,2025-03-18,Neutral
Meta vs CCI: Will upcoming data protection rules impact the case? NCLAT to decide in May,"Meta maintains that the Competition Commission of India lacks the authority to rule on privacy policy matters, which would ...",https://www.msn.com/en-in/news/India/meta-vs-cci-will-upcoming-data-protection-rules-impact-the-case-nclat-to-decide-in-may/ar-AA1B4EPB?ocid=BingNewsVerp,MSN,2025-03-18,Neutral
"Scam alert! Retired officer falls victim to Facebook scam, loses Rs 5 crore",A retired government officer from Navi Mumbai lost Rs 5 crore in a Facebook investment scam after being tricked by fraudulent ...,https://www.msn.com/en-in/entertainment/southcinema/scam-alert-retired-officer-falls-victim-to-facebook-scam-loses-rs-5-crore/ar-AA1ALseC?ocid=BingNewsVerp,MSN,2025-03-13,Neutral
How a 'low-ranking' Indian official outsmarted tech giant Mark Zuckerberg and his Facebook team with just a click,"In 2016, an Indian telecom official outsmarted Meta's attempt to save its Free Basics program with a simple click. The ...",https://www.msn.com/en-in/money/news/how-a-low-ranking-indian-official-outsmarted-tech-giant-mark-zuckerberg-and-his-facebook-team-with-just-a-click/ar-AA1B3nLI?ocid=BingNewsVerp,MSN,2025-03-17,Positive
"She was fired 8 years ago for ...: Facebook spokesperson on ex-employee who claims ex-COO Sheryl Sandberg spent $13,000 on lingerie during Europe trip","Sheryl Sandberg allegedly spent $13,000 on lingerie for herself and her assistant, and invited the assistant to her bed on a ...",https://www.msn.com/en-in/entertainment/tv/she-was-fired-8-years-ago-for-facebook-spokesperson-on-ex-employee-who-claims-ex-coo-sheryl-sandberg-spent-13000-on-lingerie-during-europe-trip/ar-AA1ADBPZ?ocid=BingNewsVerp,MSN,2025-03-11,Negative
