title,summary,url,source,publication_date,sentiment
"Madhya Pradesh man hangs self; wife, mother-in-law watch live on Instagram",A man in Madhya Pradesh died by suicide on Instagram Live as his wife watched for 44 minutes. Police arrested her and her ...,https://www.indiatoday.in/india/story/madhya-pradesh-man-hangs-self-wife-mother-in-law-watch-live-on-instagram-2697094-2025-03-21,India Today2d,2025-03-22,Positive
Instagram outage resolved after thousands of US users affected for hours,"Instagram experienced a significant outage on Thursday evening across the United States, with peak disruptions affecting over ...",https://www.msn.com/en-in/news/world/instagram-outage-resolved-after-thousands-of-us-users-affected-for-hours/ar-AA1Bmctv?ocid=BingNewsVerp,MSN,2025-03-21,Positive
Instagram down: Thousands of US users report outage,"Instagram faced a major outage in the U.S. on Thursday evening, with over 19,431 users reporting issues, according to ...",https://economictimes.indiatimes.com/news/international/global-trends/instagram-down-thousands-of-us-users-report-outage/articleshow/119278833.cms,3d,2025-03-21,Positive
"Madhya Pradesh: Man Dies By Suicide, Blames Wife And Mother-In-Law On Instagram Live","Tripathi and Priya had been married for two years, but their relationship reportedly hit a rough patch when he discovered ...",https://www.news18.com/india/madhya-pradesh-man-dies-by-suicide-blames-wife-and-mother-in-law-on-instagram-live-9271152.html,1d,2025-03-23,Positive
Kolkata woman duped by Instagram offer of ‘discounted IPL ticket’: Police,Discounted IPL tickets advertised online proved to be a costly trap for a 35-year-old Kolkata woman who fell victim to a ...,https://indianexpress.com/article/cities/kolkata/woman-duped-instagram-offer-discount-ipl-ticket-police-9898249/,2d,2025-03-22,Negative
"Meta's Instagram outage in US nearly resolved as reports drop, Downdetector shows","Reports of an Instagram outage in the U.S. on Thursday evening dropped significantly, according to outage tracking website ...",https://www.msn.com/en-us/news/technology/metas-instagram-outage-in-us-nearly-resolved-as-reports-drop-downdetector-shows/ar-AA1BlB0B?ocid=BingNewsVerp,MSN,2025-03-21,Positive
Pete Davidson And Elsie Hewitt Confirm Romance With Playful Instagram Clip,"As the scene played out, both Pete and Elsie broke out in laughter. While neither of the two have addressed the rumours of ...",https://www.news18.com/movies/pete-davidson-and-elsie-hewitt-confirm-romance-with-playful-instagram-clip-aa-9271066.html,1d,2025-03-23,Neutral
Meta spotted testing AI-generated comments on Instagram,"In recent years, Meta has introduced many AI features and capabilities to its apps, even going so far as experimenting with ...",https://www.msn.com/en-us/news/technology/meta-spotted-testing-ai-generated-comments-on-instagram/ar-AA1BoJ4J?ocid=BingNewsVerp,MSN,2025-03-22,Positive
Taylor Swift Breaks Instagram Hiatus To Laud Bestie Selena Gomez’s New Album; Screams 'I Love It So Much',Taylor Swift returned to Instagram after 100 days to support Selena Gomez’s new album I Said I Love You First. The two best ...,https://www.msn.com/en-in/news/other/taylor-swift-breaks-instagram-hiatus-to-laud-bestie-selena-gomez-s-new-album-screams-i-love-it-so-much/ar-AA1BtcKi?ocid=BingNewsVerp,MSN,2025-03-23,Positive
Is Ranbir Kapoor Making His Secret Instagram Account PUBLIC? Actor Breaks Silence,"Ranbir Kapoor recently opened up about his secret Instagram account, revealing he has a private profile for following others.",https://www.msn.com/en-in/news/other/is-ranbir-kapoor-making-his-secret-instagram-account-public-actor-breaks-silence/ar-AA1Bm2BP?ocid=BingNewsVerp,MSN,2025-03-21,Negative
