title,summary,url,source,publication_date,sentiment
Microsoft replaces its chief people officer to rethink performance reviews: Report,"Kathleen Hogan will be replaced by Amy Coleman, a Microsoft HR executive who had worked in the company for 25 years.",https://www.msn.com/en-in/news/India/microsoft-replaces-its-chief-people-officer-to-rethink-performance-reviews-report/ar-AA1BhvRZ?ocid=BingNewsVerp,MSN,2025-03-20,Neutral
Microsoft accidentally uninstalled Copilot in its latest Windows 11 update,"Microsoft’s latest Windows 11 update, released as part of March’s Patch Tuesday on 11 March, has led to the unintended ...",https://www.msn.com/en-in/money/topstories/microsoft-accidentally-uninstalled-copilot-in-its-latest-windows-11-update/ar-AA1B8gZu?ocid=BingNewsVerp,MSN,2025-03-19,Positive
Anduril Teams with Microsoft to Advance IVAS Program for U.S. Army,"Anduril and Microsoft partner to advance the IVAS program, delivering next-gen AR/VR and AI capabilities to the US Army, ...",https://www.latimes.com/b2b/ai-technology/story/2025-03-23/anduril-microsoft-advance-ivas-program-us-army,20h,2025-03-23,Neutral
Microsoft Windows And Office Users Issued Major Security Warning By Indian Govt: Here Are The Details,"Microsoft Office, Windows and other business customers are at the risk of hacking owing to multiple vulnerabilities that may ...",https://www.news18.com/tech/microsoft-windows-and-office-users-issued-major-security-warning-by-indian-govt-here-are-the-details-9266278.html,5d,2025-03-19,Negative
Here’s the Steam on Xbox evidence Microsoft didn’t want you to see,"After briefly posting an image of a new Xbox UI across multiple devices, Microsoft quickly removed it once The Verge inquired ...",https://www.msn.com/en-us/money/other/here-s-the-steam-on-xbox-evidence-microsoft-didn-t-want-you-to-see/ar-AA1BkSRe?ocid=BingNewsVerp,MSN,2025-03-21,Positive
"Microsoft, Gates Foundation collaborates with Maha govt on digital governance model",Microsoft’s co-founder and renowned philanthropist Bill Gates along with representatives from the Gates Foundation met ...,https://www.msn.com/en-in/news/India/microsoft-gates-foundation-collaborates-with-maha-govt-on-digital-governance-model/ar-AA1BiWsn?ocid=BingNewsVerp,MSN,2025-03-21,Neutral
Microsoft issues emergency Windows update to restore Copilot app,"Earlier this week, we reported on a messy Windows 11 update that caused Microsoft’s Copilot app to be uninstalled from some ...",https://www.msn.com/en-au/news/techandscience/microsoft-issues-emergency-windows-update-to-restore-copilot-app/ar-AA1BjBpc?ocid=BingNewsVerp,MSN,2025-03-21,Negative
Musk's xAI joins $30 billion fund of MS-BlackRock,"Microsoft Corp, the biggest backer of Sam Altman's OpenAI, and BlackRock Inc, which has an executive on the artificial ...",https://timesofindia.indiatimes.com/business/international-business/musks-xai-joins-30-billion-fund-of-ms-blackrock/articleshow/119235659.cms,4d,2025-03-20,Negative
Microsoft is bringing back Win+C to launch Copilot or other apps on Windows 11,"You can once again press Windows Logo Key + C to open Copilot on Windows 11, but Microsoft says it will let you change the ...",https://www.windowslatest.com/2025/03/24/microsoft-is-bringing-back-winc-to-launch-copilot-or-other-apps-on-windows-11/,Windows Latest3h,2025-03-24,Neutral
Analysis: Microsoft’s Copilot for Gaming is a solution looking for a problem,A proof of concept image of what Microsoft's new Copilot for Gaming AI assistant can do for Minecraft players. (Xbox Image) ...,https://www.msn.com/en-us/entertainment/gaming/analysis-microsoft-s-copilot-for-gaming-is-a-solution-looking-for-a-problem/ar-AA1BvUwo?ocid=BingNewsVerp,MSN,2025-03-24,Positive
