title,summary,url,source,publication_date,sentiment
Estimated completion of Tata’s semiconductor fab at Dholera by Q2 of 2027-28: Gujarat govt,"Tata Group's semiconductor fab in Dholera SIR to be completed by 2027-28, part of Vibrant Gujarat's massive investments.",https://www.thehindubusinessline.com/news/national/estimated-completion-of-tatas-semiconductor-fab-at-dholera-by-q2-of-2027-28-gujarat-govt/article69357355.ece,2d,2025-03-21,Positive
Tata Group quietly becomes Tesla's global supplier: Report,Tata firms have already signed global agreements with Tesla and are supplying various parts and services and their ...,https://www.msn.com/en-in/autos/news/tata-group-quietly-becomes-teslas-global-supplier-report/ar-AA1Bmn81?ocid=BingNewsVerp,India Today,2025-03-21,Neutral
"Vicky Kaushal Joins The Tata Motors Family, Collaborates For 'Take The Curvv' Campaign","Tata Motors, today announces its association with Bollywood actor Vicky Kaushal for its Passenger and Electric Vehicle range.",https://www.ndtv.com/auto/vicky-kaushal-joins-the-tata-motors-family-collaborates-for-take-the-curvv-campaign-7976432,2d,2025-03-21,Neutral
"Tata Motors shares stuck in bear grip but analysts are bullish, here's why",S hares of Tata Motors Ltd are stuck in the bear grip in the short term. Tata Motors stock has lost 28% in the last six ...,https://www.msn.com/en-in/money/top-stocks/tata-motors-shares-stuck-in-bear-grip-but-analysts-are-bullish-here-s-why/ar-AA1BndQ3?ocid=BingNewsVerp,MSN,2025-03-21,Neutral
Tata Group companies quietly partner with Elon Musk-led Tesla; become global supplier to EV maker,"Tata Group companies, including Tata AutoComp and TCS, have positioned themselves as essential suppliers to Tesla, ...",https://www.msn.com/en-in/autos/news/tata-group-companies-quietly-partner-with-elon-musk-led-tesla-become-global-supplier-to-ev-maker/ar-AA1BmkIx?ocid=BingNewsVerp,MSN,2025-03-21,Neutral
Tata Motors: Vicky Kaushal Becomes Face Of Brand For Passenger And Electric Vehicles,"As per the details shared by Tata Motors, Vicky will play a key role across multiple brand initiatives, this collaboration ...",https://www.news18.com/auto/tata-motors-vicky-kaushal-becomes-face-of-brand-for-passenger-and-electric-vehicles-9270711.html,1d,2025-03-22,Neutral
"YES Research maintains 'neutral' rating on Tata Steel, raises target price","YES Research has raised its target price for Tata Steel to ₹168 from ₹145, citing robust domestic demand, ongoing capacity ...",https://www.moneycontrol.com/news/business/stocks/yes-research-maintains-neutral-rating-on-tata-steel-raises-target-price-12971752.html,2d,2025-03-21,Neutral
Tata Group ties an alliance with Elon Musk's Tesla for EV supply chain: Report,"Tata Group companies such as Tata AutoComp Systems, Tata Consultancy Services (TCS), Tata Technologies, and Tata Electronics ...",https://www.fortuneindia.com/auto/tata-group-ties-an-alliance-with-elon-musks-tesla-for-ev-supply-chain-report/121315,Fortune India2d,2025-03-21,Neutral
How Tata Group Could Become A Key Character In Tesla's India Story,"As Tesla plans its expansion into India, these Tata companies are positioning themselves to play a larger role in the ...",https://www.news18.com/business/markets/how-tata-group-could-become-a-key-character-in-teslas-india-story-9269270.html,2d,2025-03-21,Neutral
"Tata Communications unveils Vayu, an overall AI Cloud offering for enterprises","Tata Communications launches Vayu, a cost-effective cloud fabric for enterprises, offering seamless integration, cost savings ...",https://www.thehindu.com/business/tata-communications-unveils-vayu-an-overall-ai-cloud-offering-for-enterprises/article69353399.ece,2d,2025-03-21,Positive
