title,summary,url,source,publication_date,sentiment
"What is Dogequest, and why are Tesla owners doxxed in an online campaign against Elon Musk?","DOGE protests against Elon Musk continue, a website called ‘Dogequest’ is publishing personal details of Tesla owners in the ...",https://www.thehindu.com/sci-tech/technology/what-is-dogequest-campgaign-against-elon-musks-tesla/article69352635.ece,2d,2025-03-22,Neutral
Is Elon Musk an 'alien'? Tesla chief's 'balancing' stunt at Donald Trump's $1M dinner goes viral,"Elon Musk attended Donald Trump's exclusive Mar-a-Lago dinner, showcasing his balancing skills with forks and spoons, ...",https://www.msn.com/en-in/news/world/is-elon-musk-an-alien-tesla-chiefs-balancing-stunt-at-donald-trumps-1m-dinner-goes-viral/ar-AA1BuFkx?ocid=BingNewsVerp,MSN,2025-03-23,Neutral
"Amazon, Tesla, X among major firms to secure maximum H-1B visa approvals in 2024 – Details inside","Tesla, along with other technology powerhouses like Google, Meta, Microsoft, and Apple, leveraged the H-1B visa programme to ...",https://www.financialexpress.com/business/investing-abroad-amazon-tesla-x-among-major-firms-to-secure-maximum-h-1b-visa-approvals-in-2024-details-inside-3786058/,The Financial Express12h,2025-03-23,Negative
Anti-Musk protesters gather outside Tesla dealership in Washington,"The protests come as Trump tapped Musk to lead a task force, which so far has overseen cuts of more than 100,000 jobs across ...",https://www.msn.com/en-us/news/politics/anti-musk-protesters-gather-outside-tesla-dealership-in-washington/ar-AA1BufcA?ocid=BingNewsVerp,MSN,2025-03-23,Positive
'Tesla growth isn't slowing down': Startup founder says Tesla's service centers 'barely keeping up' with demand,Tesla is experiencing high demand and its service centers are struggling to keep up. Despite protests and a reported decline ...,https://www.msn.com/en-us/autos/news/tesla-growth-isn-t-slowing-down-startup-founder-says-tesla-s-service-centers-barely-keeping-up-with-demand/ar-AA1BtGw8?ocid=BingNewsVerp,MSN,2025-03-23,Positive
Was Elon Musk really a Tesla co-founder? How he became synonymous with the brand,"Elon Musk is widely recognized as the visionary behind Tesla. However, the company was originally founded by Martin Eberhard ...",https://www.msn.com/en-in/technology/tech-companies/was-elon-musk-really-a-tesla-co-founder-how-he-became-synonymous-with-the-brand/ar-AA1BrCJD?ocid=BingNewsVerp,MSN,2025-03-23,Negative
Tesla hit by record trade-ins as Elon Musk’s DOGE ties sparks outrage,A significant increase in Tesla vehicle trade-ins has been observed due to protests against CEO Elon Musk's political ...,https://www.msn.com/en-in/autos/news/tesla-hit-by-record-trade-ins-as-elon-musk-s-doge-ties-sparks-outrage/ar-AA1Bp25V?ocid=BingNewsVerp,MSNOpinion,2025-03-22,Positive
"Why Tesla recalled nearly all Cybertrucks in US, in the latest of the model’s many woes",This is the eighth recall of Cyberstrucks in the brief span they have been on the roads. It’s not great news for a company ...,https://indianexpress.com/article/explained/tesla-recall-cybertrucks-problems-ev-9898882/,2d,2025-03-22,Negative
Trump warns Tesla attackers of 20 yrs in jail: Why company is under attack,"The warning comes amid a rise in attacks on Tesla showrooms, cars, and charging stations following the appointment of CEO ...",https://www.business-standard.com/world-news/donald-trump-warning-tesla-attacks-elon-musk-doge-125032100387_1.html,2d,2025-03-22,Neutral
"Woman with a rare disease that causes vertigo switches to Tesla car, says, she felt ‘peace and security’; Elon Musk reacts","A woman suffering from Ménière’s disease, which causes dizziness, replaced her 2004 Toyota with a Tesla Model 3 with Full ...",https://www.msn.com/en-in/health/other/woman-with-a-rare-disease-that-causes-vertigo-switches-to-tesla-car-says-she-felt-peace-and-security-elon-musk-reacts/ar-AA1Bqs8b?ocid=BingNewsVerp,MSN,2025-03-22,Positive
